Id,School Code,School Name,Year,Enrolment
341,113,Westisle Composite High School,2003,737
342,350,Westwood Primary School,2003,394
343,131,Alberton Elementary School,2004,218
344,231,Amherst Cove Consolidated School,2004,183
345,221,Athena Consolidated School,2004,403
346,440,Belfast Consolidated School,2004,238
347,320,Birchwood Intermediate School,2004,443
348,132,Bloomfield Elementary School,2004,197
349,314,Bluefield High School,2004,831
350,441,Cardigan Consolidated School,2004,168
351,341,Central Queens Elementary School,2004,219
352,310,Charlottetown Rural High School,2004,1001
353,311,Colonel Gray Senior High School,2004,931
354,344,Donagh Regional School,2004,151
355,442,Dundas Consolidated School,2004,77
356,324,East Wiltshire Intermediate School,2004,606
357,443,Eastern Kings Consolidated School,2004,79
358,510,École Évangéline,2004,315
359,511,École François-Buote,2004,207
360,515,École La-Belle-Cloche,2004,25
361,514,École Pierre-Chiasson,2004,47
362,512,École St-Augustin,2004,35
363,513,École-sur-Mer,2004,44
364,342,Eliot River Elementary School,2004,423
365,134,Ellerslie Elementary School,2004,183
366,232,Elm Street Elementary School,2004,468
367,345,Englewood School,2004,227
368,444,Fortune Consolidated School,2004,80
369,445,Georgetown Elementary School,2004,89
370,340,Glen Stewart Elementary School,2004,619
371,357,Grand Tracadie Elementary School,2004,41
372,237,Greenfield Elementary School,2004,396
373,348,Gulf Shore Consolidated School,2004,297
374,122,Hernewood Intermediate School,2004,381
375,211,Kensington Intermediate Senior High School,2004,459
376,212,Kinkora Regional High School,2004,192
377,343,L.M. Montgomery Elementary School,2004,320
378,123,M.E. Callaghan Intermediate School,2004,344
379,222,Miscouche Consolidated School,2004,253
380,446,Montague Consolidated School,2004,428
381,420,Montague Intermediate School,2004,344
382,410,Montague Regional High School,2004,720
383,447,Morell Consolidated School,2004,201
384,411,Morell Regional High School,2004,343
385,448,Mount Stewart Consolidated School,2004,80
386,133,O'Leary Elementary School,2004,204
387,346,Parkdale Elementary School,2004,122
388,236,Parkside Elementary School,2004,240
389,347,Prince Street Elementary School,2004,301
390,321,Queen Charlotte Intermediate School,2004,573
391,233,Queen Elizabeth Elementary School,2004,396
392,449,Rollo Bay Consolidated School,2004,115
393,349,Sherwood Elementary School,2004,524
394,234,Somerset Elementary School,2004,180
395,450,Souris Consolidated School,2004,208
396,412,Souris Regional High School,2004,326
397,451,Southern Kings Consolidated School,2004,308
398,351,Spring Park Elementary School,2004,409
399,354,St. Jean Elementary School,2004,169
400,135,St. Louis Elementary School,2004,150
401,452,St. Peter’s Consolidated School,2004,91
402,453,St. Teresa’s Consolidated School,2004,58
403,323,Stonepark Intermediate School,2004,862
404,220,Summerside Intermediate School,2004,625
405,215,Three Oaks Senior High School,2004,917
406,130,Tignish Elementary School,2004,246
407,454,Tracadie Cross Consolidated School,2004,108
408,455,Vernon River Consolidated School,2004,215
409,355,West Kent Elementary School,2004,132
410,356,West Royalty Elementary School,2004,429
411,113,Westisle Composite High School,2004,757
412,350,Westwood Primary School,2004,403
413,131,Alberton Elementary School,2005,219
414,231,Amherst Cove Consolidated School,2005,172
415,221,Athena Consolidated School,2005,386
416,440,Belfast Consolidated School,2005,214
417,320,Birchwood Intermediate School,2005,428
418,132,Bloomfield Elementary School,2005,179
419,314,Bluefield High School,2005,844
420,441,Cardigan Consolidated School,2005,153
421,341,Central Queens Elementary School,2005,214
422,310,Charlottetown Rural High School,2005,1056
423,311,Colonel Gray Senior High School,2005,963
424,344,Donagh Regional School,2005,149
425,442,Dundas Consolidated School,2005,76
426,324,East Wiltshire Intermediate School,2005,582
427,443,Eastern Kings Consolidated School,2005,72
428,510,École Évangéline,2005,291
429,511,École François-Buote,2005,210
430,515,École La-Belle-Cloche,2005,38
431,514,École Pierre-Chiasson,2005,60
432,512,École St-Augustin,2005,42
433,513,École-sur-Mer,2005,56
434,342,Eliot River Elementary School,2005,411
435,134,Ellerslie Elementary School,2005,173
436,232,Elm Street Elementary School,2005,492
437,345,Englewood School,2005,228
438,444,Fortune Consolidated School,2005,69
439,445,Georgetown Elementary School,2005,84
440,340,Glen Stewart Elementary School,2005,624
441,357,Grand Tracadie Elementary School,2005,39
442,237,Greenfield Elementary School,2005,401
443,348,Gulf Shore Consolidated School,2005,277
444,122,Hernewood Intermediate School,2005,356
445,211,Kensington Intermediate Senior High School,2005,474
446,212,Kinkora Regional High School,2005,193
447,343,L.M. Montgomery Elementary School,2005,283
448,123,M.E. Callaghan Intermediate School,2005,331
449,222,Miscouche Consolidated School,2005,256
450,446,Montague Consolidated School,2005,401
451,420,Montague Intermediate School,2005,325
452,410,Montague Regional High School,2005,725
453,447,Morell Consolidated School,2005,183
454,411,Morell Regional High School,2005,346
455,448,Mount Stewart Consolidated School,2005,70
456,133,O'Leary Elementary School,2005,195
457,346,Parkdale Elementary School,2005,118
458,236,Parkside Elementary School,2005,207
459,347,Prince Street Elementary School,2005,258
460,321,Queen Charlotte Intermediate School,2005,566
461,233,Queen Elizabeth Elementary School,2005,374
462,449,Rollo Bay Consolidated School,2005,112
463,349,Sherwood Elementary School,2005,524
464,234,Somerset Elementary School,2005,187
465,450,Souris Consolidated School,2005,211
466,412,Souris Regional High School,2005,298
467,451,Southern Kings Consolidated School,2005,294
468,351,Spring Park Elementary School,2005,385
469,354,St. Jean Elementary School,2005,155
470,135,St. Louis Elementary School,2005,136
471,452,St. Peter’s Consolidated School,2005,86
472,453,St. Teresa’s Consolidated School,2005,56
473,323,Stonepark Intermediate School,2005,855
474,220,Summerside Intermediate School,2005,603
475,215,Three Oaks Senior High School,2005,927
476,130,Tignish Elementary School,2005,214
477,454,Tracadie Cross Consolidated School,2005,100
478,455,Vernon River Consolidated School,2005,202
479,355,West Kent Elementary School,2005,141
480,356,West Royalty Elementary School,2005,400
481,113,Westisle Composite High School,2005,769
482,350,Westwood Primary School,2005,409
483,131,Alberton Elementary School,2006,214
484,231,Amherst Cove Consolidated School,2006,169
485,221,Athena Consolidated School,2006,367
486,440,Belfast Consolidated School,2006,194
487,320,Birchwood Intermediate School,2006,382
488,132,Bloomfield Elementary School,2006,172
489,314,Bluefield High School,2006,857
490,441,Cardigan Consolidated School,2006,149
491,341,Central Queens Elementary School,2006,199
492,310,Charlottetown Rural High School,2006,1067
493,311,Colonel Gray Senior High School,2006,968
494,344,Donagh Regional School,2006,147
495,442,Dundas Consolidated School,2006,78
496,324,East Wiltshire Intermediate School,2006,570
497,443,Eastern Kings Consolidated School,2006,70
498,510,École Évangéline,2006,271
499,511,École François-Buote,2006,230
500,515,École La-Belle-Cloche,2006,40
501,514,École Pierre-Chiasson,2006,63
502,512,École St-Augustin,2006,42
503,513,École-sur-Mer,2006,59
504,342,Eliot River Elementary School,2006,407
505,134,Ellerslie Elementary School,2006,149
506,232,Elm Street Elementary School,2006,483
507,345,Englewood School,2006,220
508,444,Fortune Consolidated School,2006,73
509,445,Georgetown Elementary School,2006,86
510,340,Glen Stewart Elementary School,2006,639
511,357,Grand Tracadie Elementary School,2006,40
512,237,Greenfield Elementary School,2006,371
513,348,Gulf Shore Consolidated School,2006,265
514,122,Hernewood Intermediate School,2006,327
515,211,Kensington Intermediate Senior High School,2006,446
516,212,Kinkora Regional High School,2006,196
517,343,L.M. Montgomery Elementary School,2006,265
518,123,M.E. Callaghan Intermediate School,2006,311
519,222,Miscouche Consolidated School,2006,241
520,446,Montague Consolidated School,2006,379
521,420,Montague Intermediate School,2006,298
522,410,Montague Regional High School,2006,714
523,447,Morell Consolidated School,2006,178
524,411,Morell Regional High School,2006,337
525,448,Mount Stewart Consolidated School,2006,68
526,133,O'Leary Elementary School,2006,196
527,346,Parkdale Elementary School,2006,115
528,236,Parkside Elementary School,2006,216
529,347,Prince Street Elementary School,2006,250
530,321,Queen Charlotte Intermediate School,2006,562
531,233,Queen Elizabeth Elementary School,2006,358
532,449,Rollo Bay Consolidated School,2006,102
533,349,Sherwood Elementary School,2006,509
534,234,Somerset Elementary School,2006,171
535,450,Souris Consolidated School,2006,191
536,412,Souris Regional High School,2006,296
537,451,Southern Kings Consolidated School,2006,295
538,351,Spring Park Elementary School,2006,361
539,354,St. Jean Elementary School,2006,133
540,135,St. Louis Elementary School,2006,131
541,452,St. Peter’s Consolidated School,2006,77
542,453,St. Teresa’s Consolidated School,2006,55
543,323,Stonepark Intermediate School,2006,858
544,220,Summerside Intermediate School,2006,589
545,215,Three Oaks Senior High School,2006,913
546,130,Tignish Elementary School,2006,208
547,454,Tracadie Cross Consolidated School,2006,84
548,455,Vernon River Consolidated School,2006,188
549,355,West Kent Elementary School,2006,161
550,356,West Royalty Elementary School,2006,379
551,113,Westisle Composite High School,2006,751
552,350,Westwood Primary School,2006,414
553,131,Alberton Elementary School,2007,194
554,231,Amherst Cove Consolidated School,2007,147
555,221,Athena Consolidated School,2007,356
556,440,Belfast Consolidated School,2007,169
557,320,Birchwood Intermediate School,2007,354
558,132,Bloomfield Elementary School,2007,165
559,314,Bluefield High School,2007,851
560,441,Cardigan Consolidated School,2007,127
561,341,Central Queens Elementary School,2007,181
562,310,Charlottetown Rural High School,2007,1116
563,311,Colonel Gray Senior High School,2007,964
564,344,Donagh Regional School,2007,139
565,442,Dundas Consolidated School,2007,77
566,324,East Wiltshire Intermediate School,2007,572
567,443,Eastern Kings Consolidated School,2007,70
568,510,École Évangéline,2007,247
569,511,École François-Buote,2007,229
570,515,École La-Belle-Cloche,2007,40
571,514,École Pierre-Chiasson,2007,63
572,512,École St-Augustin,2007,48
573,513,École-sur-Mer,2007,67
574,342,Eliot River Elementary School,2007,427
575,134,Ellerslie Elementary School,2007,146
576,232,Elm Street Elementary School,2007,462
577,345,Englewood School,2007,193
578,444,Fortune Consolidated School,2007,69
579,445,Georgetown Elementary School,2007,84
580,340,Glen Stewart Elementary School,2007,659
581,357,Grand Tracadie Elementary School,2007,36
582,237,Greenfield Elementary School,2007,340
583,348,Gulf Shore Consolidated School,2007,249
584,122,Hernewood Intermediate School,2007,337
585,211,Kensington Intermediate Senior High School,2007,438
586,212,Kinkora Regional High School,2007,195
587,343,L.M. Montgomery Elementary School,2007,242
588,123,M.E. Callaghan Intermediate School,2007,294
589,222,Miscouche Consolidated School,2007,247
590,446,Montague Consolidated School,2007,366
591,420,Montague Intermediate School,2007,333
592,410,Montague Regional High School,2007,694
593,447,Morell Consolidated School,2007,158
594,411,Morell Regional High School,2007,326
595,448,Mount Stewart Consolidated School,2007,58
596,133,O'Leary Elementary School,2007,181
597,346,Parkdale Elementary School,2007,112
598,236,Parkside Elementary School,2007,196
599,347,Prince Street Elementary School,2007,231
600,321,Queen Charlotte Intermediate School,2007,553
601,233,Queen Elizabeth Elementary School,2007,341
602,449,Rollo Bay Consolidated School,2007,89
603,349,Sherwood Elementary School,2007,504
604,234,Somerset Elementary School,2007,166
605,450,Souris Consolidated School,2007,189
606,412,Souris Regional High School,2007,271
607,451,Southern Kings Consolidated School,2007,272
608,351,Spring Park Elementary School,2007,333
609,354,St. Jean Elementary School,2007,125
610,135,St. Louis Elementary School,2007,129
611,452,St. Peter’s Consolidated School,2007,70
612,453,St. Teresa’s Consolidated School,2007,50
613,323,Stonepark Intermediate School,2007,865
614,220,Summerside Intermediate School,2007,570
615,215,Three Oaks Senior High School,2007,920
616,130,Tignish Elementary School,2007,214
617,454,Tracadie Cross Consolidated School,2007,80
618,455,Vernon River Consolidated School,2007,156
619,355,West Kent Elementary School,2007,169
620,356,West Royalty Elementary School,2007,363
621,113,Westisle Composite High School,2007,739
622,350,Westwood Primary School,2007,396
623,131,Alberton Elementary School,2008,186
624,231,Amherst Cove Consolidated School,2008,143
625,221,Athena Consolidated School,2008,357
626,440,Belfast Consolidated School,2008,144
627,320,Birchwood Intermediate School,2008,306
628,132,Bloomfield Elementary School,2008,153
629,314,Bluefield High School,2008,821
630,441,Cardigan Consolidated School,2008,118
631,341,Central Queens Elementary School,2008,182
632,310,Charlottetown Rural High School,2008,1119
633,311,Colonel Gray Senior High School,2008,970
634,344,Donagh Regional School,2008,143
635,442,Dundas Consolidated School,2008,69
636,324,East Wiltshire Intermediate School,2008,557
637,443,Eastern Kings Consolidated School,2008,55
638,510,École Évangéline,2008,242
639,511,École François-Buote,2008,254
640,515,École La-Belle-Cloche,2008,36
641,514,École Pierre-Chiasson,2008,59
642,512,École St-Augustin,2008,48
643,513,École-sur-Mer,2008,68
644,342,Eliot River Elementary School,2008,413
645,134,Ellerslie Elementary School,2008,158
646,232,Elm Street Elementary School,2008,393
647,345,Englewood School,2008,184
648,444,Fortune Consolidated School,2008,53
649,445,Georgetown Elementary School,2008,94
650,340,Glen Stewart Elementary School,2008,639
651,357,Grand Tracadie Elementary School,2008,30
652,237,Greenfield Elementary School,2008,381
653,348,Gulf Shore Consolidated School,2008,220
654,122,Hernewood Intermediate School,2008,330
655,211,Kensington Intermediate Senior High School,2008,428
656,212,Kinkora Regional High School,2008,195
657,343,L.M. Montgomery Elementary School,2008,240
658,123,M.E. Callaghan Intermediate School,2008,281
659,222,Miscouche Consolidated School,2008,250
660,446,Montague Consolidated School,2008,370
661,420,Montague Intermediate School,2008,325
662,410,Montague Regional High School,2008,692
663,447,Morell Consolidated School,2008,155
664,411,Morell Regional High School,2008,309
665,448,Mount Stewart Consolidated School,2008,50
666,133,O'Leary Elementary School,2008,168
667,346,Parkdale Elementary School,2008,100
668,236,Parkside Elementary School,2008,179
669,347,Prince Street Elementary School,2008,235
670,321,Queen Charlotte Intermediate School,2008,531
671,233,Queen Elizabeth Elementary School,2008,301
672,449,Rollo Bay Consolidated School,2008,34
673,349,Sherwood Elementary School,2008,478
674,234,Somerset Elementary School,2008,156
675,450,Souris Consolidated School,2008,252
676,412,Souris Regional High School,2008,279
677,451,Southern Kings Consolidated School,2008,262
678,351,Spring Park Elementary School,2008,318
679,354,St. Jean Elementary School,2008,108
680,135,St. Louis Elementary School,2008,130
